id,name,category,price,rating,reviews,asin,url,image,isBestSeller,boughtInLastMonth
1,"SuperBreak One Backpacks, Black - Durable, Lightweight Bookbag with 1 Main Compartment, Front Utility Pocket with Built-in Organizer - Premium Backpack",backpack,35.53,4.6,0,B0007QCQGI,https://www.amazon.com/dp/B0007QCQGI,https://m.media-amazon.com/images/I/71c8Ye5F3ML._AC_UL320_.jpg,False,7000
2,"Cross Town Backpack - Travel, or Work Bookbag with Water Bottle Pocket, Black",backpack,25.49,4.7,0,B0823VFB4C,https://www.amazon.com/dp/B0823VFB4C,https://m.media-amazon.com/images/I/51Aa5Zt4uxL._AC_UL320_.jpg,False,4000
3,"Large Travel Backpack Women, Carry On Backpack,Hiking Backpack Waterproof Outdoor Sports Rucksack Casual Daypack Fit 14 Inch Laptop with USB Charging Port Shoes Compartment, Beige",backpack,29.99,4.6,0,B09YCVFMB1,https://www.amazon.com/dp/B09YCVFMB1,https://m.media-amazon.com/images/I/81FJM61kZtL._AC_UL320_.jpg,True,2000
4,"Voyageur Celina Backpack - Men's & Women's Backpack - Travel Bag - Indigo - Gold Hardware - 16.0"" X 10.6"" X 6.5""",backpack,475.0,4.4,0,B0BS6HY947,https://www.amazon.com/dp/B0BS6HY947,https://m.media-amazon.com/images/I/51ynGOe45WL._AC_UL320_.jpg,False,100
5,"Apex Backpack Premium Vegan, Waterproof Material - 17"" Laptop Sleeve, Comfort Straps - Spacious, Lightweight, Durable - For Work, Travel, Gym",backpack,245.0,4.6,0,B09Y8WFPL6,https://www.amazon.com/dp/B09Y8WFPL6,https://m.media-amazon.com/images/I/61DblDL2tBL._AC_UL320_.jpg,False,200
6,"Excel 6 Backpack, Black/White 3 Stripe Webbing, One Size",backpack,35.2,4.7,0,B08JXC6CDR,https://www.amazon.com/dp/B08JXC6CDR,https://m.media-amazon.com/images/I/81gC85fppiL._AC_UL320_.jpg,False,2000
7,"Crossroads Backpack 27L, Black",backpack,230.0,4.7,0,B09X61QHY9,https://www.amazon.com/dp/B09X61QHY9,https://m.media-amazon.com/images/I/61TmH2pKvJL._AC_UL320_.jpg,False,100
8,"Daylite Everyday Backpack, Black, One Size",backpack,55.81,4.7,0,B08LP148YT,https://www.amazon.com/dp/B08LP148YT,https://m.media-amazon.com/images/I/817NuLLDWeL._AC_UL320_.jpg,False,600
9,"Panga Series Airtight, Waterproof, Submersible Bags",backpack,300.0,4.7,0,B07FPWVVTM,https://www.amazon.com/dp/B07FPWVVTM,https://m.media-amazon.com/images/I/61SFr4P7KaL._AC_UL320_.jpg,False,100
10,Allpa 42L Travel Pack,backpack,219.99,4.7,0,B07WSS7TD8,https://www.amazon.com/dp/B07WSS7TD8,https://m.media-amazon.com/images/I/61r9zM492PL._AC_UL320_.jpg,False,100
11,Lululemon New Crew Backpack,backpack,128.0,4.7,0,B08413S5VJ,https://www.amazon.com/dp/B08413S5VJ,https://m.media-amazon.com/images/I/41aIgcnS4xL._AC_UL320_.jpg,False,200
